,area_type,size,total_sqft,bath,balcony,price
3438,0,3,1600,3,3,160.0
3442,2,5,2400,5,3,100.0
3443,0,2,1143,2,2,65.0
3444,0,2,1470,2,2,61.74
3445,2,4,1584,3,2,145.0
3446,0,3,1785,3,2,94.0
3447,0,3,2292,3,2,286.0
3448,0,3,1460,3,3,71.0
3449,0,3,1500,2,3,80.0
3450,2,5,1200,4,1,140.0
3452,0,2,1230,2,2,48.0
3453,0,1,650,1,1,20.0
3455,0,2,1220,2,1,43.92
3456,0,3,1570,3,1,115.0
3457,1,3,3000,3,3,400.0
3458,0,3,1665,3,2,86.91
3459,2,3,1350,3,1,380.0
3460,2,4,4000,5,2,600.0
3461,2,2,1100,2,0,68.0
3462,0,3,1350,2,1,87.01
3463,1,3,1719,3,2,116.0
3464,0,1,664,1,1,35.0
3465,0,2,1011,2,1,50.53
3467,0,3,1680,3,2,85.0
3469,2,4,700,4,2,110.0
3470,0,3,1520,2,2,150.0
3473,0,2,875,2,1,33.0
3474,0,2,1231,2,2,48.0
3475,0,2,1174,2,3,74.0
3476,1,3,1560,3,3,75.0
3478,2,3,2200,3,2,130.0
3479,1,2,850,2,2,55.0
3480,1,3,1750,3,1,180.0
3482,2,2,1500,1,0,160.0
3484,0,3,2408,4,2,260.0
3485,0,2,1080,2,1,44.0
3486,0,3,2070,3,2,225.0
3487,1,2,1020,2,1,29.46
3488,0,3,1500,2,3,55.0
3489,2,4,1575,5,1,158.0
3490,2,4,3250,4,1,180.0
3491,0,2,1175,2,1,47.0
3492,0,2,1030,2,1,34.5
3493,0,2,1440,2,1,115.0
3494,1,2,1500,2,1,84.0
3495,2,1,1380,1,1,62.1
3496,1,2,1200,2,3,50.0
3497,1,1,705,1,2,36.5
3498,0,3,2240,5,2,155.0
3500,0,3,1340,3,3,77.0
3501,0,3,1800,3,2,70.0
3502,0,2,1200,2,3,45.0
3503,0,1,685,1,1,40.0
3504,0,2,925,2,3,42.0
3505,0,2,1230,2,2,57.0
3506,2,5,1200,5,1,185.0
3507,0,2,1125,2,1,52.0
3508,0,2,1100,2,1,54.0
3509,2,3,2400,3,2,149.0
3510,0,3,1400,2,2,41.58
3512,0,3,1858,3,1,98.3
3513,2,1,1260,1,1,41.0
3514,1,4,3530,4,2,290.0
3515,0,2,1185,2,2,60.0
3516,2,2,1200,2,1,216.0
3517,0,2,1255,2,1,58.0
3518,0,4,3436,6,3,475.0
3519,1,3,1335,3,2,89.0
3520,0,3,1999,3,2,132.0
3522,0,3,1397,3,2,110.0
3525,2,2,1200,2,1,130.0
3526,2,3,1616,3,0,95.0
3528,1,4,1270,2,1,175.0
3529,0,2,1140,2,2,38.55
3531,2,3,1200,2,1,98.0
3532,1,1,700,1,1,162.0
3534,2,3,1200,3,2,130.0
3535,0,3,1700,3,2,75.0
3536,2,5,750,4,0,62.0
3537,0,2,1090,2,1,54.54
3539,1,1,2400,1,0,650.0
3540,0,1,923,1,1,60.84
3541,0,4,3595,6,2,360.0
3543,0,2,1495,2,2,79.5
3545,1,3,1485,3,2,85.0
3546,0,3,1033,2,2,31.5
3547,0,3,1400,2,1,48.0
3548,1,1,500,1,0,70.0
3549,0,2,944,2,1,35.0
3550,1,5,3250,5,0,290.0
3551,0,2,1216,2,1,66.48
3552,0,2,1100,2,1,39.5
3553,0,3,1743,3,2,93.25
3554,0,2,1274,2,2,48.42
3555,0,3,2500,3,2,425.0
3556,0,3,1512,2,2,110.0
3557,0,4,3100,5,1,385.0
3558,0,3,1650,3,3,100.0
3559,1,3,1875,3,1,55.0
3560,1,3,1350,3,2,54.0
3561,0,2,1219,2,2,40.0
3562,2,4,1200,4,1,150.0
3563,2,3,2400,3,3,85.0
3564,0,2,1141,2,1,44.4
3565,0,2,1151,2,1,43.1
3566,2,3,832,3,1,77.0
3567,0,2,915,2,1,38.0
3568,2,3,3259,3,0,270.0
3569,0,2,1115,2,1,65.12
3570,0,3,2072,4,2,139.0
3571,0,2,1200,2,2,53.0
3573,0,2,1457,2,2,85.0
3574,0,2,1262,2,2,55.0
3575,2,4,1196,3,1,150.0
3577,1,1,420,1,1,17.0
3580,1,3,1315,2,1,85.4
3581,1,2,1500,2,2,57.0
3582,0,2,1127,2,1,68.0
3583,0,3,1397,3,2,104.0
3584,1,2,1173,2,1,60.0
3585,0,2,1090,2,2,28.0
3587,0,2,1230,2,1,76.0
3588,0,4,3200,3,3,190.0
3589,0,2,858,2,1,31.57
3590,0,3,1868,3,1,121.0
3592,1,4,600,3,2,73.0
3593,0,3,1425,3,3,49.88
3595,2,2,1350,2,1,100.0
3597,0,3,1310,2,1,85.0
3599,0,2,970,2,1,40.0
3600,0,3,1397,3,3,108.0
3601,0,2,1157,2,1,40.0
3602,0,2,1125,2,1,61.2
3603,0,2,1157,2,1,42.0
3604,0,2,1241,2,1,82.0
3605,0,1,660,1,1,62.0
3606,1,4,4000,4,3,220.0
3607,0,4,2340,4,1,148.0
3608,1,1,596,1,1,42.0
3610,2,4,1200,4,3,110.0
3611,0,3,1910,3,1,190.0
3612,0,2,1139,2,2,80.0
3613,0,4,3122,5,2,225.0
3614,0,2,1033,2,2,28.41
3615,0,2,1168,2,2,64.08
3616,0,2,877,2,3,42.0
3617,1,2,1340,2,2,75.0
3618,1,3,1405,2,2,70.0
3619,0,3,1800,3,3,65.0
3620,1,3,1750,3,3,149.0
3621,0,3,1360,2,1,65.0
3622,2,3,675,2,0,148.0
3623,0,2,985,2,1,63.0
3624,0,2,1300,2,1,129.0
3625,0,3,1850,3,2,150.0
3626,0,3,1490,2,3,88.0
3627,0,2,620,1,1,25.0
3628,0,2,1130,2,1,42.3
3629,0,2,1080,2,2,55.0
3631,0,3,1410,2,3,52.17
3632,0,3,1375,3,2,59.0
3633,0,3,1290,2,1,94.5
3634,0,3,1318,2,1,85.28
3635,0,2,1128,2,1,68.0
3636,2,4,4428,4,2,255.0
3637,0,2,1051,2,2,56.74
3638,2,3,3500,5,0,275.0
3639,2,4,2400,4,1,130.0
3640,0,2,1327,2,3,85.0
3641,0,4,2912,6,2,210.0
3642,0,2,1301,2,2,55.0
3643,0,1,650,1,0,30.0
3644,2,3,1200,3,1,67.75
3645,0,3,1500,2,2,89.99
3647,2,4,1350,4,2,145.0
3648,1,2,1000,2,1,28.88
3649,0,2,984,2,1,45.91
3651,1,1,900,1,0,175.0
3653,0,3,2145,4,1,270.0
3654,0,3,2475,4,3,300.0
3655,0,2,1118,2,0,30.0
3656,0,1,910,1,1,42.0
3657,0,3,1250,3,2,39.0
3658,0,2,1304,2,3,100.0
3659,0,3,1615,3,2,58.0
3660,0,2,1400,2,2,68.0
3661,0,2,1070,2,2,47.5
3662,0,3,3500,3,3,395.0
3663,0,2,1132,2,1,89.37
3666,0,1,794,1,2,65.0
3667,0,2,1090,2,2,43.59
3668,0,3,1500,3,2,70.0
3669,0,3,2059,3,2,225.0
3672,0,2,1269,2,1,75.0
3673,2,4,4800,4,0,700.0
3674,0,2,1070,2,2,37.45
3675,0,2,1150,2,0,28.0
3676,0,2,1208,2,2,70.0
3677,0,2,1185,2,1,45.5
3679,0,2,888,2,1,34.0
3681,1,1,532,1,1,22.49
3682,0,3,1060,3,1,62.0
3683,1,1,700,1,1,35.0
3684,0,2,902,2,2,42.0
3687,0,2,1365,2,1,122.0
3688,0,2,984,2,1,51.0
3689,2,4,2700,2,2,100.0
3690,0,3,1475,3,2,96.0
3691,0,2,1300,2,2,79.0
3692,2,5,1200,6,1,220.0
3693,1,3,1453,2,2,43.59
3694,0,2,1550,2,3,160.0
3696,2,4,1410,4,2,160.0
3697,2,4,4025,5,3,800.0
3698,0,3,1845,3,3,91.0
3699,0,3,1676,3,3,52.0
3700,0,2,1137,2,1,63.0
3701,0,3,1360,2,1,70.5
3702,0,3,1374,2,2,70.0
3703,1,3,1700,3,2,155.0
3704,2,5,3227,5,0,250.0
3706,2,4,2400,6,3,600.0
3707,0,3,2170,3,2,151.0
3708,1,2,1080,2,1,55.0
3709,1,3,1790,3,3,100.0
3710,0,1,550,1,1,17.0
3712,1,2,1033,2,2,48.0
3713,1,2,1000,2,1,80.0
3714,0,4,2940,6,2,280.0
3715,0,2,1240,2,2,52.6
3716,2,5,1650,5,1,450.0
3718,1,3,1500,2,0,97.0
3719,0,3,1730,3,3,139.0
3720,0,3,1915,3,3,80.0
3721,0,3,1545,3,2,79.0
3722,0,3,1865,4,2,140.0
3723,0,2,1150,2,2,40.0
3724,0,2,1200,2,2,49.0
3725,1,2,963,2,2,40.0
3726,2,3,1200,3,1,120.0
3727,0,4,2600,4,3,260.0
3729,0,3,1682,3,1,120.0
3730,1,3,1371,2,2,65.0
3731,0,2,901,2,1,49.5
3733,0,3,1730,3,1,120.0
3734,2,4,1200,4,0,125.0
3735,0,3,1500,3,3,102.0
3737,1,4,3500,4,2,245.0
3739,0,2,1357,2,2,54.0
3740,0,3,1600,3,2,76.0
3741,1,1,350,1,1,13.5
3742,0,3,1665,3,1,53.0
3743,2,3,1400,3,3,200.0
3744,0,1,835,1,1,46.95
3745,2,2,815,3,2,160.0
3746,0,3,1444,2,1,80.0
3747,0,2,1277,2,2,55.0
3748,0,3,1521,3,1,94.71
3749,0,2,1134,2,1,40.0
3750,0,2,995,2,1,34.82
3751,0,3,2760,5,2,157.0
3752,1,2,1325,1,1,92.0
3754,1,3,1525,3,2,90.0
3755,0,3,1320,2,2,73.0
3756,0,1,650,1,1,23.0
3757,1,3,1858,2,1,167.0
3758,0,2,1150,2,1,38.0
3759,0,2,769,2,1,40.0
3760,0,3,1571,3,2,105.0
3761,0,3,1445,3,1,86.56
3762,0,3,1590,2,2,135.0
3763,0,2,902,2,2,49.0
3764,2,3,2238,3,1,140.0
3765,1,2,1090,2,1,31.49
3766,1,3,1712,3,3,82.0
3767,1,2,1088,2,1,68.0
3768,0,3,1575,3,3,63.1
3770,0,3,1920,3,2,150.0
3771,2,2,1000,2,0,57.0
3772,0,2,1100,2,2,56.1
3773,0,2,1089,2,2,45.0
3774,1,2,1106,2,1,43.09
3775,0,2,927,2,2,37.0
3776,0,2,1339,2,2,58.0
3777,1,1,923,1,1,45.69
3778,2,3,2900,3,2,285.0
3779,0,2,1175,2,2,75.0
3780,1,2,975,2,1,55.0
3781,0,3,2400,4,1,180.0
3782,0,3,1330,3,2,72.0
3783,0,2,1183,2,1,59.74
3784,0,3,1758,3,2,133.0
3785,2,3,1200,3,2,265.0
3787,2,3,600,4,2,110.0
3789,0,2,1170,2,2,46.8
3790,1,5,2400,5,2,120.0
3791,0,3,1530,3,3,51.77
3792,1,2,1420,2,2,107.0
3793,2,4,1200,4,2,300.0
3795,0,3,1591,3,1,115.0
3797,2,2,675,3,1,52.0
3798,0,2,1055,2,1,57.63
3799,0,3,1918,3,2,129.0
3800,0,2,1280,2,1,76.0
3801,0,3,1560,3,3,66.0
3802,0,2,1145,2,2,49.5
3804,0,3,1801,3,2,139.0
3805,2,5,1200,5,3,120.0
3806,0,2,1718,3,2,288.0
3808,0,2,1320,2,1,92.0
3809,1,3,1350,2,2,65.0
3811,1,4,3800,5,3,300.0
3812,0,3,1344,2,1,42.0
3813,0,3,1893,3,2,100.0
3814,0,3,1107,2,1,43.0
3816,0,2,1190,2,1,75.0
3817,1,2,1000,2,1,35.0
3818,2,2,2400,2,1,160.0
3819,0,2,1000,2,1,48.5
3820,0,3,2113,3,2,155.0
3821,1,2,1100,2,1,46.0
3822,2,5,1200,4,1,160.0
3823,0,4,1884,4,2,120.0
3824,0,2,1110,2,1,40.0
3827,1,3,1470,3,0,62.0
3828,1,2,1150,2,1,75.0
3829,2,3,1200,3,2,165.0
3830,0,1,703,1,1,52.0
3831,0,3,1400,2,2,62.0
3832,0,2,1195,2,2,51.0
3833,0,2,1302,2,1,69.1
3834,0,3,1583,3,1,74.4
3835,0,3,1488,2,3,60.0
3836,2,4,600,5,2,85.0
3837,0,3,1385,2,2,34.63
3838,0,4,3262,4,2,260.0
3839,1,3,1600,3,2,104.0
3840,0,2,1150,2,1,90.0
3842,0,2,1263,2,1,78.0
3844,0,2,1299,2,2,85.0
3845,0,2,1330,2,1,78.0
3846,0,3,1282,2,2,52.43
3847,1,3,1853,3,2,82.0
3848,0,2,861,2,1,35.0
3849,1,3,1600,3,2,95.0
3851,0,3,1390,2,2,80.0
3853,2,1,1200,6,3,150.0
3854,1,2,919,2,1,49.0
3855,2,3,1625,3,0,80.0
3856,0,2,1195,2,2,44.0
3858,0,2,1159,2,1,60.0
3859,0,3,1386,3,1,57.46
3860,0,2,1197,2,1,79.0
3863,0,3,1295,2,1,50.28
3864,1,3,1310,2,1,37.83
3865,0,2,1132,2,1,79.28
3866,1,3,2350,3,2,400.0
3868,0,3,1645,3,2,135.0
3869,0,2,1200,2,1,45.84
3870,2,4,3000,4,0,330.0
3871,0,3,1937,3,2,140.0
3872,0,2,1015,2,2,33.5
3874,0,3,1350,2,2,80.99
3875,0,3,1149,2,2,29.0
3876,0,2,1185,2,2,59.0
3877,0,3,1720,3,1,135.0
3878,0,3,2080,3,3,175.0
3879,2,3,1500,3,1,87.0
3880,0,3,1566,3,2,97.0
3882,2,4,1500,4,0,110.0
3883,0,2,1290,2,1,49.02
3884,1,3,1531,3,2,72.0
3885,0,3,1839,3,3,165.0
3886,2,4,4200,4,1,760.0
3889,0,2,1140,2,2,39.0
3891,1,4,2000,4,0,100.0
3894,0,3,1618,3,1,68.0
3895,0,4,2830,5,2,160.0
3896,0,3,1315,2,2,74.0
3897,0,2,1141,2,1,42.75
3900,0,2,1111,2,2,41.88
3901,0,2,1022,2,1,45.9
3902,0,2,1275,2,2,65.0
3903,0,2,900,2,1,70.0
3904,0,2,1224,2,3,39.2
3905,0,2,1135,2,3,43.0
3906,0,2,1050,2,2,52.1
3908,0,2,1392,2,1,130.0
3909,0,2,1050,2,2,72.0
3910,0,3,1513,3,1,103.0
3911,0,3,1621,3,3,72.0
3912,0,2,892,2,1,39.0
3913,0,2,1205,2,1,40.0
3914,0,3,1355,3,2,83.87
3917,0,4,1200,6,3,70.0
3918,0,2,1400,2,2,168.0
3919,0,2,726,2,1,35.0
3920,2,3,1500,3,2,149.0
3921,0,4,3895,4,2,405.0
3922,0,2,1079,2,2,41.0
3923,0,2,1170,2,2,46.0
3924,0,2,1104,2,2,39.0
3925,0,2,950,2,1,45.0
3926,1,4,4818,4,3,390.0
3927,1,3,1650,2,1,52.0
3928,0,3,1559,3,2,127.0
3929,1,2,1100,2,1,38.0
3930,0,3,1750,3,3,150.0
3931,0,2,1215,2,1,45.5
3932,0,3,1868,3,1,135.0
3933,1,2,1130,2,1,32.63
3935,0,3,1691,3,1,98.0
3936,1,5,4355,3,1,350.0
3937,0,2,1225,2,2,55.0
3938,0,3,1690,3,2,112.0
3940,0,4,1896,3,1,125.0
3941,0,1,605,1,1,40.0
3942,2,5,800,5,2,95.0
3943,0,2,900,2,2,32.5
3944,2,1,750,2,0,50.0
3945,2,3,780,3,1,62.0
3946,0,2,908,2,1,26.0
3948,0,4,3216,4,1,226.0
3949,2,5,2400,4,1,225.0
3950,1,2,1400,2,2,68.0
3952,0,2,1255,2,2,74.0
3953,1,3,1500,2,1,100.0
3954,0,2,1296,2,2,72.0
3955,0,2,925,2,3,38.0
3956,1,2,1023,2,2,42.0
3957,1,2,600,3,2,75.0
3958,0,2,1020,2,1,44.5
3959,0,3,1530,3,2,77.0
3960,0,3,1650,3,2,71.0
3961,1,3,1605,2,3,85.0
3962,0,2,1925,2,1,50.0
3963,0,2,1190,2,2,50.66
3964,0,3,1374,3,2,68.0
3965,1,2,1140,2,2,65.0
3966,0,3,1725,3,2,130.0
3967,0,3,1075,2,1,50.0
3968,0,3,1574,3,1,93.34
3969,1,1,965,1,1,32.0
3970,0,3,1550,3,2,83.0
3971,0,2,1205,2,2,60.0
3972,0,3,1082,2,1,55.0
3973,0,3,1215,2,2,52.85
3974,0,4,2483,5,2,230.0
3975,2,2,1200,3,1,46.14
3976,0,1,1500,1,1,19.5
3977,2,4,2360,4,2,600.0
3979,0,3,1452,3,3,60.98
3980,0,3,1329,2,2,41.0
3981,0,2,1125,2,1,44.0
3983,1,3,1350,3,3,39.97
3985,0,3,2600,3,2,195.0
3986,2,2,1200,2,1,160.0
3988,0,2,1255,2,1,80.0
3989,0,3,1904,3,3,155.0
3990,0,2,1329,2,2,70.0
3991,2,2,1200,2,1,60.0
3992,0,3,2135,3,2,160.0
3993,0,3,2770,4,3,315.0
3994,1,1,813,1,1,39.0
3995,2,4,3884,4,3,240.0
3996,2,3,3876,3,1,300.0
3997,0,2,800,2,2,30.0
3998,2,4,4750,2,1,120.0
3999,0,3,1500,3,3,70.0
4000,0,3,1880,3,2,95.0
4001,0,3,1440,2,2,55.0
4003,0,3,1630,2,2,97.78
4004,0,3,1180,3,1,55.0
4005,1,2,1090,2,1,36.0
4006,0,2,1020,2,2,48.45
4007,1,4,2425,4,3,173.0
4008,0,2,1097,2,1,33.82
4009,0,2,1070,2,1,50.0
4010,0,2,1000,2,1,58.0
4012,0,2,1150,2,1,56.0
4013,1,3,1900,4,2,145.0
4014,0,2,1141,2,2,49.0
4015,1,2,937,2,1,44.0
4016,1,2,1075,2,1,60.0
4017,0,2,1000,2,1,65.3
4019,2,5,897,2,1,85.0
4020,0,2,936,2,2,43.0
4021,1,2,1280,2,1,75.0
4022,0,2,1050,2,3,45.0
4023,0,2,1350,2,1,86.0
4024,0,2,1325,2,1,70.0
4025,0,2,1174,2,1,59.0
4026,0,3,1890,3,2,162.0
4027,0,1,735,1,1,75.0
4028,1,1,500,1,0,24.0
4029,0,3,1304,3,3,80.0
4030,1,3,1653,3,2,120.0
4031,0,3,1075,2,1,52.0
4032,0,2,1212,3,1,42.0
4034,0,4,3436,6,3,500.0
4035,2,3,1200,4,0,145.0
4036,0,2,1140,2,2,50.0
4037,2,2,1200,2,1,100.0
4038,0,3,1532,3,2,83.0
4039,2,3,2776,4,2,195.0
4040,0,3,1531,2,0,75.0
4042,0,2,1325,2,1,53.0
4043,2,3,1200,3,1,160.0
4044,0,3,1156,2,2,44.0
4045,2,4,2000,4,2,320.0
4046,0,2,1260,2,2,70.0
4047,0,2,1934,2,0,90.0
4048,0,2,1060,2,1,40.0
4049,0,3,1476,3,1,95.0
4050,0,2,1185,2,1,85.0
4051,0,3,1265,2,1,82.0
4052,1,4,3200,5,1,150.0
4053,0,2,1196,2,2,56.81
4054,1,2,1280,2,1,69.0
4055,2,4,800,4,2,86.0
4057,1,3,1850,3,3,98.0
4058,2,4,2400,4,2,525.0
4060,0,3,2000,3,3,185.0
4062,2,4,800,5,3,155.0
4063,0,2,1180,2,2,36.5
4064,0,2,1050,2,1,49.87
4066,2,4,2360,4,2,150.0
4067,0,2,1030,2,1,77.25
4068,0,2,1512,1,2,65.01
4069,1,2,929,2,1,48.0
4070,0,3,1252,3,3,61.0
4071,1,3,1485,3,2,115.0
4072,0,3,1124,2,2,55.0
4074,1,3,1407,3,1,120.0
4075,0,3,1482,2,3,97.0
4076,0,2,1163,2,1,98.86
4077,0,3,1570,3,2,140.0
4079,0,1,520,1,1,14.04
4080,0,3,2000,3,2,160.0
4081,0,2,1352,2,2,75.0
4082,0,2,1152,2,1,65.0
4083,1,3,1575,3,2,93.0
4084,0,3,1965,4,2,125.0
4087,0,2,957,2,1,47.0
4088,0,3,1740,3,3,60.0
4089,2,5,1080,6,3,65.0
4090,0,2,1060,2,0,35.0
4092,0,2,1150,2,2,51.0
4093,0,3,1738,2,3,79.0
4094,0,3,1250,3,2,55.0
4095,1,3,1788,3,2,90.0
4096,0,2,1151,2,1,59.0
4097,0,3,1300,2,2,60.0
4098,0,2,1150,2,1,52.8
4099,0,2,1380,2,1,75.0
4100,0,3,1645,3,2,117.0
4101,0,2,1141,2,1,45.9
4102,0,2,1175,2,2,82.5
4103,0,3,1355,2,1,61.0
4104,1,2,1150,2,0,70.0
4107,0,2,1007,2,1,65.0
4108,0,4,3000,5,2,100.0
4109,0,3,1436,3,3,70.0
4110,0,4,4000,4,3,220.0
4114,2,2,1200,2,0,150.0
4115,0,2,1016,2,1,58.0
4117,0,2,1080,2,1,45.0
4118,0,2,1070,2,1,60.0
4119,0,3,1532,3,1,115.0
4120,0,2,1040,2,2,42.12
4121,2,3,3100,3,3,250.0
4123,0,3,1430,2,2,51.6
4124,2,2,1160,1,0,163.0
4125,0,4,3262,5,2,205.0
4127,1,2,1190,2,2,100.0
4128,0,3,1827,3,3,100.0
4129,0,2,1210,2,1,75.0
4132,0,2,1251,2,1,88.73
4133,0,3,1600,2,2,115.0
4134,0,2,1128,2,1,65.5
4135,0,3,1820,3,2,93.0
4136,0,3,2072,4,2,159.0
4137,0,3,1510,2,3,59.0
4138,0,3,1925,2,3,114.0
4139,2,3,2651,2,2,225.0
4140,0,3,2072,4,2,147.0
4141,0,2,1000,2,2,36.0
4142,2,3,1752,3,2,145.0
4143,0,2,960,2,3,56.0
4144,0,2,1180,2,2,63.0
4145,1,3,2270,3,1,180.0
4146,1,2,650,2,0,59.0
4147,0,2,1200,2,1,75.0
4148,0,3,1180,2,1,46.0
4149,0,3,1300,3,2,47.0
4150,1,2,1157,2,0,40.0
4151,0,3,1300,3,2,69.0
4152,0,3,1305,2,1,59.0
4153,0,3,2006,4,2,196.0
4154,0,2,1290,2,1,80.0
4155,0,2,1170,2,3,45.0
4156,2,4,971,2,2,135.0
4157,0,2,1400,2,3,78.0
4159,1,3,1155,2,0,60.0
4160,1,3,1725,3,2,85.0
4161,0,2,700,2,1,40.0
4163,0,2,1112,2,1,88.0
4165,0,2,1274,2,1,81.0
4166,0,2,915,2,1,32.0
4168,0,1,760,1,2,21.28
4169,1,3,1540,3,2,68.0
4170,0,2,1206,2,3,38.5
4171,0,3,1645,3,2,95.0
4172,2,4,1200,4,2,170.0
4173,2,4,1200,4,1,140.0
4174,0,4,2342,3,2,115.0
4175,0,3,1200,2,1,55.0
4176,0,2,1056,2,2,33.0
4178,0,3,1450,3,3,54.3
4179,0,2,1161,2,2,36.69
4180,0,2,1097,2,3,65.0
4181,1,2,850,2,2,35.0
4182,0,3,1715,3,2,115.0
4184,0,2,1200,2,1,59.0
4185,0,2,1080,2,2,38.0
4186,0,2,1200,2,1,50.3
4187,2,4,2400,4,0,550.0
4188,0,3,1400,2,1,78.0
4189,2,4,1500,4,3,200.0
4191,0,2,1230,2,1,57.0
4192,1,3,1640,3,3,88.0
4193,0,3,1700,3,2,125.0
4196,0,2,1020,2,2,40.79
4198,1,3,1275,2,2,95.0
4199,1,4,1600,3,1,165.0
4200,0,2,1110,2,2,38.85
4202,1,2,620,2,1,22.0
4203,2,4,3004,4,2,285.0
4204,0,2,1133,2,1,52.0
4205,0,2,1182,2,2,82.5
4206,0,3,1500,3,3,100.0
4208,0,2,1200,2,2,58.0
4209,0,2,1128,2,1,48.79
4211,1,2,900,2,2,110.0
4212,1,2,1100,2,1,45.0
4213,0,2,635,1,1,22.0
4215,1,3,1874,4,1,130.0
4216,2,4,600,3,2,78.0
4217,0,2,1171,2,2,75.0
4218,0,3,2020,3,3,85.0
4219,0,2,1059,2,2,34.5
4220,0,3,1315,2,1,59.1
4221,0,3,1760,3,2,110.0
4222,1,2,1200,2,1,125.0
4223,0,3,1192,2,1,62.0
4224,0,3,1645,3,2,121.0
4225,0,2,1250,2,2,72.0
4227,0,2,1340,2,1,77.0
4228,1,3,2388,4,3,239.0
4230,0,2,1355,2,3,75.0
4231,1,2,1150,2,2,65.0
4232,0,3,1938,3,3,113.0
4233,0,4,2462,4,3,124.0
4234,0,3,1636,3,2,85.0
4235,0,3,1430,2,2,75.0
4238,2,4,1260,4,1,150.0
4239,0,3,1700,3,3,88.0
4240,0,2,1270,2,2,78.0
4241,2,3,1500,3,1,121.0
4242,1,3,2300,3,3,290.0
4243,2,4,7500,4,2,900.0
4244,0,3,1650,3,3,86.45
4245,0,2,1109,2,1,63.0
4246,0,2,1280,2,1,49.75
4247,1,4,2885,3,1,185.0
4249,2,3,1600,3,2,180.0
4250,0,3,1462,3,3,71.0
4251,0,1,607,1,1,35.0
4252,0,2,930,2,0,25.0
4253,2,4,4500,5,2,300.0
4255,0,3,2600,3,1,237.0
4256,0,4,3000,4,2,140.0
4257,0,3,1418,3,2,52.47
4258,1,2,4200,1,2,160.0
4259,1,2,1125,2,1,65.0
4260,0,3,1825,3,2,126.0
4261,0,2,1320,2,3,79.5
4262,1,4,3000,4,2,140.0
4263,0,3,1490,2,2,300.0
4264,2,4,1650,3,1,300.0
4265,0,2,750,2,1,52.7
4266,0,3,1400,2,2,80.54
4267,0,4,4104,4,3,360.0
4268,1,4,5000,4,0,375.0
4269,2,5,3295,4,2,260.0
4270,2,4,1150,3,1,110.0
4271,2,3,1200,3,1,61.96
4272,1,2,965,2,2,48.0
4273,2,1,812,1,1,26.0
4274,0,2,1100,2,2,43.0
4275,0,2,1180,2,2,41.0
4276,0,2,1145,2,2,48.0
4277,0,2,1027,2,1,44.0
4278,0,2,1215,2,2,49.85
4279,2,2,1200,2,0,75.0
4280,0,2,1015,2,2,58.0
4281,2,3,2400,3,1,165.0
4282,2,4,3000,4,3,306.0
4283,1,3,3300,4,3,160.0
4284,0,2,1076,2,2,52.0
4285,0,2,1300,2,1,109.0
4286,1,2,1300,2,2,102.0
4287,0,3,1512,3,1,123.0
4290,0,2,1153,2,1,65.0
4291,2,2,2080,2,1,150.0
4292,0,2,1255,2,2,69.0
4294,0,3,1583,3,3,109.0
4295,0,2,1505,2,2,90.0
4296,0,3,1365,2,2,75.08
4297,2,3,1200,3,3,95.75
4298,0,3,1810,4,3,148.0
4299,1,1,440,1,0,35.0
4300,0,2,975,2,1,63.0
4301,0,2,1250,2,3,39.0
4302,0,3,1530,2,1,97.0
4303,0,3,1300,2,2,39.0
4305,0,2,1308,2,1,83.0
4307,0,3,1490,2,2,59.6
4308,2,4,10000,4,0,450.0
4309,0,3,1592,3,1,91.0
4310,0,2,1222,2,0,112.0
4311,0,2,1267,2,2,42.85
4312,0,1,656,1,1,53.0
4313,2,4,3400,4,3,530.0
4316,0,3,1698,3,2,102.0
4317,1,3,1500,3,2,70.0
4318,2,4,2000,5,0,80.0
4319,0,2,1152,2,1,65.75
4320,0,1,550,1,0,21.0
4323,1,3,1419,2,3,73.0
4326,0,2,990,2,1,40.0
4327,0,2,1016,2,1,45.0
4328,0,2,1100,2,0,39.0
4329,1,4,850,2,1,65.0
4330,0,2,1095,2,1,35.0
4332,0,2,1444,2,2,70.0
4333,0,2,1415,2,3,67.0
4334,2,3,1500,2,1,130.0
4335,0,3,1600,3,3,72.0
4336,0,2,1105,2,1,41.36
4337,0,3,1225,3,0,45.03
4338,0,3,2560,3,2,265.0
4341,0,3,1856,3,2,135.0
4344,0,2,1150,2,2,77.0
4345,2,5,1200,4,1,98.0
4348,0,3,2500,3,3,75.0
4349,2,2,1200,2,1,45.0
4350,0,2,1036,2,1,59.46
4351,2,4,3445,5,3,270.0
4352,0,2,1400,2,2,80.0
4353,0,2,1110,2,2,33.0
4354,1,2,1150,2,3,48.0
4355,0,1,715,1,1,45.0
4356,2,4,1200,4,0,130.0
4357,2,5,1200,3,1,260.0
4358,0,4,2283,4,2,130.0
4360,0,3,1453,2,2,43.58
4361,1,3,1400,2,1,85.0
4362,0,3,1400,3,0,65.0
4363,0,3,1700,3,1,140.0
4364,0,3,1591,3,1,120.0
4365,0,3,1515,2,1,79.0
4366,1,5,2500,3,3,200.0
4367,0,2,975,2,1,24.86
4368,0,3,1382,2,2,76.18
4370,0,3,1533,3,2,150.0
4371,0,3,3815,3,1,763.0
4372,0,2,1100,2,2,38.0
4373,0,4,3730,6,2,450.0
4374,0,3,1500,2,1,120.0
4375,0,3,1391,2,2,64.5
4376,0,2,1160,2,2,42.92
